site,V1,V2,V3,V4,V5,V6,V7,V8
s1SMT1,0,0,0,0,0,0,0,0
s1SMT2,0,0,0,0,0,0,0,0
s1SMT3,0,0,0,0,0,0,0,0
s1SMT4,0,0,0,0,0,NA,NA,NA
s1SMT5,0,0,0,0,0,NA,NA,NA
s1SMT6,0,0,0,0,0,NA,NA,NA
s1SMT7,0,0,0,0,0,0,0,0
s1SMT8,0,0,0,0,0,0,0,0
s1JKS1,0,0,0,0,0,0,NA,NA
s1JKS2,0,0,0,0,0,0,0,0
s1JKS3,0,0,0,0,0,0,0,NA
s1JKS4,0,0,0,0,0,0,NA,NA
s1JKS5,0,0,0,0,0,0,0,0
s1JKS6,0,0,NA,NA,NA,NA,NA,NA
s1JKS7,0,0,0,0,0,0,0,NA
s1JKS8,0,0,0,0,0,0,0,NA
s1JKS9,0,0,0,0,0,0,0,0
s1JKS10,0,0,0,0,0,0,0,0
s1JKS11,0,0,0,0,0,0,0,0
s1JKS12,0,0,0,0,0,0,0,0
s1JKS13,0,0,0,0,0,0,0,NA
s1JKS14,0,0,NA,NA,NA,NA,NA,NA
s1JKS15,0,0,0,0,0,0,0,NA
s1JKS16,0,0,0,0,0,NA,NA,NA
s1JKS17,0,0,0,0,0,NA,NA,NA
s1JKS18,0,0,0,0,0,NA,NA,NA
s1JKS19,0,NA,NA,NA,NA,NA,NA,NA
s1JKS20,0,0,NA,NA,NA,NA,NA,NA
s1PAD1,0,0,0,0,0,NA,NA,NA
s1PAD2,0,0,0,0,0,NA,NA,NA
s1PAD3,0,0,0,NA,NA,NA,NA,NA
s1PAD4,0,0,0,0,NA,NA,NA,NA
s1PAD5,0,0,0,0,NA,NA,NA,NA
s1PAD6,0,0,0,0,0,0,0,NA
s1PAD7,0,0,0,0,0,0,NA,NA
s1PAD8,0,0,0,0,NA,NA,NA,NA
s1PAD9,0,0,0,0,0,0,0,0
s1PAD10,0,0,0,0,0,0,NA,NA
s1PAD11,0,NA,NA,NA,NA,NA,NA,NA
s1PAD12,0,0,0,0,0,NA,NA,NA
s1PAD13,0,0,0,0,0,0,NA,NA
s1PAD14,1,1,1,0,0,NA,NA,NA
s1PAD15,0,NA,NA,NA,NA,NA,NA,NA
s1PAD16,1,0,1,1,NA,NA,NA,NA
s1PAD17,0,0,0,0,0,0,0,0
s1PAD18,0,0,0,0,0,0,0,NA
s1PAD19,0,0,0,0,0,0,0,NA
s1PAD20,0,0,0,0,0,NA,NA,NA
s1PAD21,0,1,1,0,0,NA,NA,NA
s1PAD22,0,0,0,0,0,NA,NA,NA
s1PAD23,0,0,0,0,0,0,NA,NA
s1PAD24,0,0,0,0,0,NA,NA,NA
s1PAD25,0,1,0,0,0,NA,NA,NA
s1PAD26,0,0,0,0,0,NA,NA,NA
s1PAD27,0,0,0,0,0,NA,NA,NA
s1PAD28,0,NA,NA,NA,NA,NA,NA,NA
s1PAD29,0,0,0,0,0,0,0,0
s1PAD30,0,0,0,0,0,NA,NA,NA
s1PAD31,0,0,0,1,0,NA,NA,NA
s1PAD32,1,0,0,0,0,NA,NA,NA
s1PAD33,0,NA,NA,NA,NA,NA,NA,NA
s1PAD34,0,0,0,0,0,0,NA,NA
s1PAD35,0,0,0,0,0,0,0,0
