site,code,x,y,coordx,coordy,camera,trail,pTrail,block,area,livestock,livestock.s,effort,human,pDisturb,agriPL_1KM,TC4,ndvi8,eleps,drivps,dsetps,droaps,dfmups,dpaps,AnnPrec,AnnMeTemp,WB,Sambar,BD,wildboar,sambar,barkingdeer,wb,sam,mun,present_MAP,presentMAP,present_MAT,rcp26_MAP,rcp26MAP,rcp26_MAT,rcp45_MAP,rcp45MAP,rcp45_MAT,rcp85_MAP,rcp85MAP,rcp85_MAT,MaxTempWar,temperature,precipitation,agriPL_500M,agriPL_2KM,agriPL_4KM,agriPL_16KM,agriPL_32KM,blPL_500M,blPL_1KM,blPL_2KM,blPL_4KM,conPL_500M,conPL_1KM,conPL_2KM,conPL_4KM,meaPL_500M,meaPL_1KM,meaPL_2KM,meaPL_4KM,demFM_500M,rivFM_500M,rivFM_1KM,rivFM_2KM,rivFM_4KM,roaFM_500M,roaFM_1KM,roaFM_2KM,roaFM_4KM,roaFM_8KM,roaFM_16KM,roa8_100,roa16_100,rouFM_500M,rouFM_1KM,rouFM_2KM,rouFM_4KM,setden_500M,setden_1KM,setden_2KM,setden_4KM,setden_8KM,setden_16KM,sloposFM_500M,sloposFM_1KM,sloposFM_2KM,sloposFM_4KM,Dist_road,TC500,TC1,TC2,TC8,slo500,Dist_riv,logriv,logroa,logset,Dist_set,Dist_PA_edge,ele500,bd_nmix,gaur_nmix,goral_nmix,sam_nmix,ser_nmix,wb_nmix,allPrey,gaur_nb,munt_nb,sam_nb,ser_nb,wp_nb,gor_nb,gaur_p,munt_p,sam_p,ser_p,wp_p,gor_p
s1SMT1,s1SMT1,89.0866,27.0408,159371,2992480,HCO,trail,1,South,JKS_SD,243,1.8,135,250,493,0,60.82,148.636,2518,1698.12,2376.07,6246.42,26861.8,18382.05,2399.5,13.1,0,1,1,5.3604,4.0906,8.3235,5,4,8,195.6,1955.8,12.8,153,1530,12.2,171.9,1719.2,12.5,178,1780,13.1,22.73,12.02,2147,0,0,0.16,10.0056,17.9005,100,100,100,98.73,0,0,0,0,0,0,0,1.02,2568.33,0,0,0,0.01,0,0,0,0,0,0.02,0.3,2.39,11543.26,36452.18,166999.81,335357.78,0,0,0,0.04,0.716,5.526,-20.33,-47.47,28.46,152.43,6174.03,63.63,60.91,62.14,63.83,23.72,1786.45,3.25,3.79,3.36,2305.12,18382.04,2600.72,7.36,0.08,0.74,3.73,3.88,2.5,18.3,0.4,17.4,4.65,10.17,11.2,3.01,0.13,4.26,1.14,1.57,2.12,0.57
s1SMT2,s1SMT2,89.0138,27.0076,152119,2988855,HCO,trail,1,South,JKS_SD,503,4.657407407,108,84,587,0,52.28,140.129,1557,3617.96,484.67,3231.24,30598.15,21835.9,3816.3,18.3,1,0,1,5.6648,5.1204,8.515,6,5,9,299,2990,17.6,252.3,2522.5,18,280.8,2808.3,18.3,288.4,2884.2,18.9,27.11,15.75,3143,0,1.65,8.23,23.5829,23.1242,100,100,97.56,89.16,0,0,0,0,0,0,0.79,2.02,1542.11,0,0,0,0.01,0,0,0,0.01,0.03,0.04,3.11,3.69,19648.13,50995.61,102164.65,230366.05,1.27,0.32,0.08,3.46,7.6,5.505,30.89,67.89,123.5,254.71,3143.56,58.24,54.2,57.32,47.33,30.97,2942.6,3.47,3.5,2.69,484.66,21835.9,1569.48,7.85,0.19,0.51,5.48,3.7,2.33,20.06,1.5,22.67,7.07,9.98,12.43,3.81,0.45,5.51,1.6,1.53,2.28,0.68
s1SMT3,s1SMT3,88.9929,27.0418,150074,2992661,HCO,trail,1,South,JKS_SD,174,1.611111111,108,46,220,0,59.39,145.512,1802,2222.84,1328.83,5649.25,27016.95,17915.65,3519.5,17.4,2,0,0,5.4682,4.8387,8.6431,5,5,9,252.9,2529.2,15.9,235.1,2350.8,16.5,262.1,2620.8,16.8,269.4,2694.2,17.3,26.37,16.39,3169,0,1.52,9.38,18.3768,19.3306,100,99.47,98.35,89.22,0,0,0,0,0,0.53,0.13,1.07,1746.81,0,0,0,0.03,0,0,0,0,0.01,0.03,1,3.35,11039.73,28632.32,99248.55,248829.31,0,0,1.83,3.88,5.864,6.023,65.19,136.69,238.46,350.83,5649.25,70.17,69.76,68.61,54.07,26.1,2250,3.35,3.75,3.12,1328.83,17915.65,1762.34,7.48,0.59,1.4,4.4,3.58,3.86,21.31,1.1,23.29,6.63,10.11,12.76,3.45,0.33,5.77,1.53,1.54,2.37,0.63
s1SMT4,s1SMT4,88.9137,27.1772,142345,3007731,HCO,trail,1,South,JKS_SD,75,1.136363636,66,11,86,0,61.27,140.571,2249,2101.07,1553.64,3061.32,17173.97,7448.83,2506.7,15.2,7,1,22,5.3699,4.3835,8.5063,5,4,9,189.1,1890.8,13.9,185.8,1858.3,13.9,206.8,2068.3,14.3,214.3,2142.5,14.8,24.64,13.95,2269,0,2.5,7.88,5.2183,9.1052,100,100,97.5,92.12,0,0,0,0,0,0,0,0,2198.58,0,0,0,0.03,0,0,0,0,0.02,0.01,2.08,1.31,10055.39,30806.72,81390.08,139285.31,0,0,0.4,2.71,4.869,2.913,32.42,100.76,215.68,323.69,3099.45,68.35,67.38,63.13,56.31,24.59,2346.91,3.37,3.49,3.2,1571.78,7448.83,2234.28,7.09,0.53,2.24,3.64,3.86,4.59,21.95,0.57,20.68,5.38,10.43,12.21,3.22,0.18,5.09,1.27,1.6,2.29,0.6
s1SMT5,s1SMT5,88.8658,27.1679,137588,3006742,HCO,trail,1,South,JKS_SD,131,1.955223881,67,20,151,16.18,53.93,141.072,1261,360,90,1465.09,12302.38,12241.32,3066.5,17,0,1,2,6.9732,6.0892,7.4203,7,6,7,265,2650,17.6,239,2390,18.2,264.7,2646.7,18.5,272.9,2729.2,19.1,26.29,17.72,3264,23.46,15.23,15.8,5.2223,10.8905,76.54,83.82,84.25,83.05,0,0,0,0,0,0,0.46,0.77,1220.46,0.17,0.13,0.07,0.06,0,0,0.01,0.05,0.02,0.02,2.24,1.6,16750.67,28423.6,71038.89,123060.23,20.37,14.64,9.55,8.04,7.336,2.808,49.54,15.66,-125.23,-215.43,1465.09,22.39,41.16,55,55.98,27.15,381.84,2.58,3.17,1.95,90,12241.32,1295.34,6.92,0.71,1.56,5.94,4.65,4.66,24.44,0.02,9.21,8.35,6.5,2.71,0.96,0,1.73,1.84,0.75,0.3,0.26
s1SMT6,s1SMT6,89.0791,27.0797,158658,2996796,HCO,trail,1,South,JKS_SD,24,0.393442623,61,14,38,0,62.19,153.834,3334,3165.39,3108.59,9865.99,24119.5,14041.15,2091.4,12.3,3,0,9,5.908,3.8125,7.4011,6,4,7,114.1,1140.8,8.4,85.1,850.8,7.8,96.3,963.3,8.1,101,1010,8.7,22.03,8.42,1369,0,0,0,4.8818,13.8679,53.09,72.15,88.33,97.09,1.23,1.33,0.46,0.12,32.1,18.3,7.84,1.96,3289.03,0,0,0,0,0,0,0,0,0,0.01,0,0.76,3689.18,10988.04,41233.58,104099.22,0,0,0,0.04,0.637,2.898,60.97,117.92,259.76,588.46,9887.31,34.93,42.47,49.91,67.06,15.78,5687.83,3.75,4,3.49,3075.84,14041.15,3278.35,6.12,0.09,2.72,2.65,4.03,4.78,20.39,0.12,8.29,3.11,6.77,7.7,1.72,0.04,1.87,0.81,1.05,1.49,0.32
s1SMT7,s1SMT7,89.0554,27.0656,156296,2995251,HCO,trail,1,South,JKS_SD,65,0.601851852,108,15,80,0,62.64,152.407,2755,1018.23,1728.84,10165.22,26857.12,15572.34,2294.2,12.8,0,0,0,5.3409,3.9426,8.2497,5,4,8,155.6,1555.8,10.5,110.7,1106.7,9.9,125.2,1251.7,10.3,130.8,1307.5,10.8,22.4,10.52,1867,0,0,0,8.3559,15.513,100,100,94.66,97.09,0,0,0,0.12,0,0,3.96,1.96,2803.7,0,0,0,0,0,0,0,0,0,0.02,0,1.77,16790.72,56224.53,164220.47,219992.28,0,0,0.16,0.04,0.269,4.425,-27.7,-8.67,39.7,213.92,10165.22,57.07,63.36,59.56,65.77,27.81,4551.01,3.66,4.01,3.24,1728.84,15572.34,2785.56,6.7,0.24,2.38,3.11,4.04,4.54,21.01,0.27,15.3,4.22,9.29,10.59,2.59,0.09,3.64,1.02,1.43,2.01,0.49
s1SMT8,s1SMT8,89.0127,26.9711,151978,2984811,HCO,trail,1,South,JKS_SD,160,1.467889908,109,112,272,21.22,33.66,131.906,580,2577.21,201.25,270,32727.35,25854.45,4469.6,21.6,0,0,11,6.9233,6.8418,7.7738,7,7,8,401.6,4015.8,22.7,307.9,3079.2,22.4,345.9,3459.2,22.8,354,3540,23.3,29.95,22.7,4819,12.35,14.44,22.97,31.576,28.2939,85.19,71.35,79.5,67.68,0,0,0,0,2.47,5.84,3.23,5.94,655.82,0,0,0,0.03,0.19,0.24,0.09,0.06,0.06,0.04,5.99,4.17,5229.19,7824.81,33046.59,71820.56,38.2,12.1,7.32,10.84,10.653,5.311,-66.82,-87.9,-113.78,-105.17,450,26.07,28.21,36.08,33.68,19.02,2070,3.32,2.65,2.26,180,25854.45,648.18,7.42,1.16,0.88,7.77,2.94,4.05,24.22,0.06,5.56,9.76,5.31,1.96,1.24,0,0.98,2.19,0.59,0.21,0.28
s1JKS1,s1JKS1,89.3009,27.2217,180746,3012389,HCO,trail,1,North,JKS_SD,383,3.792079208,101,64,447,0,46.77,147.663,3651,1659.52,3593.24,4140,0,15709.06,1256.3,8,0,0,0,6.1844,3.6787,7.003,6,4,7,80.3,803.3,5.3,62.3,622.5,5.3,69.4,694.2,5.7,72.9,729.2,6.2,19.48,5.29,964,0,0,0.05,1.6903,3.8959,0,0,0.13,6.78,72.84,83.82,90.84,85.19,27.16,16.18,9.03,7.98,3576.6,0,0,0,0.01,0,0,0,0,0.03,0.02,3.5,2.21,10833.71,24435.86,52543.33,102672.9,0,0,0,0.12,1.144,1.844,29.4,60.9,129.84,292.96,4183.79,22.39,32.43,38.66,54.34,23.71,1731.18,3.24,3.62,3.57,3710.8,15709.06,3615.46,6.23,0.01,0.84,2.73,3.67,2.61,16.09,0.08,4.71,2.29,6.29,5.67,1.8,0.03,1.01,0.63,0.99,1.1,0.33
s1JKS2,s1JKS2,89.3242,27.2184,183053,3012011,HCO,trail,1,North,JKS_SD,283,2.065693431,137,17,300,0,50.11,149.718,3882,2979.53,3820.5,4514.38,0,18074.1,1259.4,8,4,0,0,6.3939,3.6557,6.773,6,4,7,78.9,789.2,5,63.5,635,5.5,70.8,708.3,5.9,74.4,744.2,6.4,19.5,5,947,0,0,0,1.793,4.0614,0,0,0,6.94,43.21,72.68,83.45,83.05,56.79,27.32,16.55,10,3740.39,0,0,0,0.01,0,0,0,0,0.04,0.02,3.64,2.37,7612.79,16832.01,63896.29,135855.94,0,0,0,0.1,1.79,1.906,128.61,202.71,333.8,514.18,4514.38,19.71,27.55,38.53,56.51,24.4,2938.47,3.47,3.65,3.59,3885.67,18074.1,3759.36,5.96,0.01,1.22,2.43,3.23,3.2,16.05,0.06,3.44,2.1,4.74,4.81,1.26,0.02,0.71,0.59,0.74,0.94,0.22
